,Release of CSM,Release of Risk Adjustment,Expected Claims,Expected Expenses,Recovery of Acquisition Cash Flows,INSURANCE SERVICE REVENUE,Claims Incurred,Expenses Incurred,Amortisation of Acquisition Cash Flows,INSURANCE SERVICE EXPENSES,OTHER EXPENSES,Investment Income,Insurance Financial Expense,FINANCIAL GAIN/LOSS,PROFIT OR LOSS
0,438283.0,6000.0,40000.0,30000.0,34464.0,548747.0,-40000.0,-30000.0,-34464.0,-104464.0,-80000.0,15412.0,-13700.0,1712.0,365995.0
1,432841.0,5698.0,37984.0,64810.0,34036.0,575369.0,-37984.0,-64810.0,-34036.0,-136830.0,-18992.0,23942.0,-21282.0,2660.0,422207.0
2,427467.0,6763.0,45087.0,61544.0,33613.0,574474.0,-45087.0,-61544.0,-33613.0,-140244.0,-18035.0,31664.0,-28146.0,3518.0,419713.0
3,422115.0,6422.0,42810.0,58436.0,33192.0,562975.0,-42810.0,-58436.0,-33192.0,-134438.0,-17124.0,38145.0,-33907.0,4238.0,415651.0
4,416830.0,7317.0,48778.0,55485.0,32777.0,561186.0,-48778.0,-55485.0,-32777.0,-137039.0,-16259.0,43892.0,-39015.0,4877.0,412764.0
5,411568.0,8104.0,54028.0,52677.0,32363.0,558741.0,-54028.0,-52677.0,-32363.0,-139068.0,-15437.0,48510.0,-43120.0,5390.0,409626.0
6,406330.0,7693.0,51289.0,50007.0,31951.0,547269.0,-51289.0,-50007.0,-31951.0,-133246.0,-14654.0,52054.0,-46270.0,5784.0,405153.0
7,401158.0,8347.0,55644.0,47471.0,31544.0,544164.0,-55644.0,-47471.0,-31544.0,-134660.0,-13911.0,54955.0,-48849.0,6106.0,401700.0
8,396010.0,8913.0,59419.0,45060.0,31140.0,540542.0,-59419.0,-45060.0,-31140.0,-135619.0,-13204.0,56874.0,-50554.0,6319.0,398038.0
9,390887.0,9399.0,62661.0,42766.0,30737.0,536451.0,-62661.0,-42766.0,-30737.0,-136164.0,-12532.0,57854.0,-51426.0,6428.0,394183.0
10,385790.0,9812.0,65412.0,40585.0,30336.0,531935.0,-65412.0,-40585.0,-30336.0,-136333.0,-11893.0,57937.0,-51500.0,6437.0,390146.0
11,380719.0,11003.0,73355.0,38511.0,29937.0,533526.0,-73355.0,-38511.0,-29937.0,-141803.0,-11285.0,57160.0,-50809.0,6351.0,386788.0
12,375636.0,11242.0,74945.0,36536.0,29538.0,527896.0,-74945.0,-36536.0,-29538.0,-141018.0,-10706.0,55263.0,-49123.0,6140.0,382312.0
13,370582.0,11426.0,76171.0,34658.0,29140.0,521975.0,-76171.0,-34658.0,-29140.0,-139968.0,-10156.0,52576.0,-46734.0,5842.0,377693.0
14,365556.0,12282.0,81881.0,32873.0,28745.0,521337.0,-81881.0,-32873.0,-28745.0,-143499.0,-9633.0,49127.0,-43669.0,5459.0,373664.0
15,360523.0,12332.0,82215.0,31173.0,28349.0,514593.0,-82215.0,-31173.0,-28349.0,-141738.0,-9135.0,44692.0,-39727.0,4966.0,368687.0
16,355522.0,12343.0,82287.0,29558.0,27956.0,507667.0,-82287.0,-29558.0,-27956.0,-139802.0,-8662.0,39549.0,-35155.0,4394.0,363598.0
17,350553.0,12934.0,86229.0,28024.0,27565.0,505306.0,-86229.0,-28024.0,-27565.0,-141818.0,-8212.0,33718.0,-29972.0,3746.0,359022.0
18,345581.0,13428.0,89521.0,26564.0,27174.0,502269.0,-89521.0,-26564.0,-27174.0,-143259.0,-7784.0,27004.0,-24004.0,3000.0,354225.0
19,340608.0,12726.0,84839.0,25175.0,26783.0,490130.0,-84839.0,-25175.0,-26783.0,-136797.0,-7377.0,19438.0,-17278.0,2160.0,348116.0
