,OPENING,New Acquisition Expense,Accretion of Interest,Amortised Expense,CLOSING
0,0.0,422500,16900.0,-34464.0,404936.0
1,404936.0,0,16197.0,-34036.0,387098.0
2,387098.0,0,15484.0,-33613.0,368969.0
3,368969.0,0,14759.0,-33192.0,350535.0
4,350535.0,0,14021.0,-32777.0,331779.0
5,331779.0,0,13271.0,-32363.0,312688.0
6,312688.0,0,12508.0,-31951.0,293244.0
7,293244.0,0,11730.0,-31544.0,273429.0
8,273429.0,0,10937.0,-31140.0,253227.0
9,253227.0,0,10129.0,-30737.0,232619.0
10,232619.0,0,9305.0,-30336.0,211588.0
11,211588.0,0,8464.0,-29937.0,190114.0
12,190114.0,0,7605.0,-29538.0,168181.0
13,168181.0,0,6727.0,-29140.0,145768.0
14,145768.0,0,5831.0,-28745.0,122854.0
15,122854.0,0,4914.0,-28349.0,99419.0
16,99419.0,0,3977.0,-27956.0,75439.0
17,75439.0,0,3018.0,-27565.0,50892.0
18,50892.0,0,2036.0,-27174.0,25753.0
19,25753.0,0,1030.0,-26783.0,0.0
