,OPENING,Changes Related to Future Service: New Business,Changes Related to Future Service: Assumptions,Expected Cash Inflows,Expected Cash Outflows,Insurance Service Expense,Changes Related to Current Service: Experience,Changes Related to Current Service: Release,CLOSING
0,0.0,-5497442.0,0,765000.0,-492500.0,-206198.0,0,0,-5431140.0
1,-5431140.0,0.0,0,726444.0,-102794.0,-189641.0,0,0,-4997131.0
2,-4997131.0,0.0,0,689831.0,-106631.0,-173672.0,0,0,-4587602.0
3,-4587602.0,0.0,0,654995.0,-101246.0,-158614.0,0,0,-4192467.0
4,-4192467.0,0.0,0,621918.0,-104263.0,-144066.0,0,0,-3818878.0
5,-3818878.0,0.0,0,590448.0,-106705.0,-130318.0,0,0,-3465453.0
6,-3465453.0,0.0,0,560513.0,-101295.0,-117319.0,0,0,-3123554.0
7,-3123554.0,0.0,0,532095.0,-103115.0,-104723.0,0,0,-2799297.0
8,-2799297.0,0.0,0,505064.0,-104479.0,-92779.0,0,0,-2491491.0
9,-2491491.0,0.0,0,479357.0,-105427.0,-81444.0,0,0,-2199006.0
10,-2199006.0,0.0,0,454909.0,-105997.0,-70674.0,0,0,-1920767.0
11,-1920767.0,0.0,0,431664.0,-111866.0,-60427.0,0,0,-1661397.0
12,-1661397.0,0.0,0,409519.0,-111480.0,-50894.0,0,0,-1414252.0
13,-1414252.0,0.0,0,388470.0,-110828.0,-41808.0,0,0,-1178418.0
14,-1178418.0,0.0,0,368464.0,-114754.0,-33135.0,0,0,-957843.0
15,-957843.0,0.0,0,349414.0,-113388.0,-25036.0,0,0,-746854.0
16,-746854.0,0.0,0,331314.0,-111846.0,-17284.0,0,0,-544669.0
17,-544669.0,0.0,0,314119.0,-114253.0,-9850.0,0,0,-354653.0
18,-354653.0,0.0,0,297754.0,-116085.0,-2871.0,0,0,-175856.0
19,-175856.0,0.0,0,282181.0,-110014.0,3689.0,0,0,0.0
