,OPENING,Changes Related to Future Service: New Business,Changes Related to Future Service: Assumptions,Expected Cash Inflows,Expected Cash Outflows,Insurance Service Expense,Changes Related to Current Service: Experience,Changes Related to Current Service: Release,CLOSING
0,0.0,124416.0,0,0,0,4977.0,0,-6000.0,123393.0
1,123393.0,0.0,0,0,0,4936.0,0,-5698.0,122631.0
2,122631.0,0.0,0,0,0,4905.0,0,-6763.0,120773.0
3,120773.0,0.0,0,0,0,4831.0,0,-6422.0,119183.0
4,119183.0,0.0,0,0,0,4767.0,0,-7317.0,116633.0
5,116633.0,0.0,0,0,0,4665.0,0,-8104.0,113195.0
6,113195.0,0.0,0,0,0,4528.0,0,-7693.0,110029.0
7,110029.0,0.0,0,0,0,4401.0,0,-8347.0,106084.0
8,106084.0,0.0,0,0,0,4243.0,0,-8913.0,101414.0
9,101414.0,0.0,0,0,0,4057.0,0,-9399.0,96072.0
10,96072.0,0.0,0,0,0,3843.0,0,-9812.0,90103.0
11,90103.0,0.0,0,0,0,3604.0,0,-11003.0,82704.0
12,82704.0,0.0,0,0,0,3308.0,0,-11242.0,74770.0
13,74770.0,0.0,0,0,0,2991.0,0,-11426.0,66335.0
14,66335.0,0.0,0,0,0,2653.0,0,-12282.0,56706.0
15,56706.0,0.0,0,0,0,2268.0,0,-12332.0,46642.0
16,46642.0,0.0,0,0,0,1866.0,0,-12343.0,36165.0
17,36165.0,0.0,0,0,0,1447.0,0,-12934.0,24677.0
18,24677.0,0.0,0,0,0,987.0,0,-13428.0,12236.0
19,12236.0,0.0,0,0,0,489.0,0,-12726.0,-0.0
